ID;Status;Uptime;Country;Location;Ships;Distinct;Contributor;ships_rel;cum_ships_rel;dist_rel;
3634;;100 %; Italy;Udine;91;8; ;0,10 %;77,70 %;0,03 %;74,23 %
2136;;100 %; Netherlands;NW_Overijssel ;91;19; ;0,10 %;77,80 %;0,07 %;74,30 %
2845;;100 %; Germany;Cuxhaven;90;85; ;0,09 %;77,89 %;0,32 %;74,62 %
3093;;100 %; Cyprus;Limassol;89;50; ;0,09 %;77,98 %;0,19 %;74,81 %
2807;;100 %; Germany;Bremerhaven;89;0; ;0,09 %;78,08 %;0,00 %;74,81 %
2127;;100 %; Netherlands;Rotterdam;88;0; ;0,09 %;78,17 %;0,00 %;74,81 %
2548;;100 %; Netherlands;Poortugaal;88;0; ;0,09 %;78,26 %;0,00 %;74,81 %
3296;;100 %; Norway;Stavanger;87;12; ;0,09 %;78,35 %;0,05 %;74,86 %
3329;;100 %; United Kingdom;Plymouth;87;41; ;0,09 %;78,44 %;0,16 %;75,02 %
2474;;100 %; United Kingdom;Gosport;87;0; ;0,09 %;78,53 %;0,00 %;75,02 %
3445;;0 %; United Kingdom;Minster On Sea;87;0; ;0,09 %;78,63 %;0,00 %;75,02 %
2976;;100 %; Canada;Vancouver;86;1; ;0,09 %;78,72 %;0,00 %;75,02 %
3752;;100 %; Japan;Tokyo;86;86; ;0,09 %;78,81 %;0,33 %;75,35 %
3234;;100 %; France;L'Epine;86;36; ;0,09 %;78,90 %;0,14 %;75,48 %
2061;;100 %; Belgium;Ostend;85;0; ;0,09 %;78,99 %;0,00 %;75,48 %
3212;;100 %; Netherlands;Maarssenbroek;85;27; ;0,09 %;79,07 %;0,10 %;75,58 %
2641;;100 %; Germany;Hooksiel;85;27; ;0,09 %;79,16 %;0,10 %;75,69 %
3024;;100 %; Japan;Katsuura, Chiba;84;84; ;0,09 %;79,25 %;0,32 %;76,00 %
2813;;100 %; Canada;Vancouver;84;4; ;0,09 %;79,34 %;0,02 %;76,02 %
2720;;100 %; Spain;Vigo Bay;84;23; ;0,09 %;79,43 %;0,09 %;76,11 %
2899;;100 %; Germany;Berlin;82;60; ;0,09 %;79,51 %;0,23 %;76,33 %
2511;;100 %; South Africa;Cape Town;81;20; ;0,08 %;79,60 %;0,08 %;76,41 %
2697;;100 %; United States of America;Bremerton, WA;80;10; ;0,08 %;79,68 %;0,04 %;76,45 %
2463;;100 %; Canada;Prince Rupert;80;1; ;0,08 %;79,77 %;0,00 %;76,45 %
